main verb - infinito senza to;separabile- se segnato vuol dire si;prep_1;prep_2
rule;x;in;
rule;x;out;
run;x;around;
run;x;away;
run;x;down;
run;x;off;
run;x;on;
run;x;out;
run;x;over;
run;x;up;
rush;x;off;
rush;x;out;
rush;x;up;
rust;x;out;
rustle;x;up;
saddle;x;up;
save;x;in;
save;x;out;
save;x;up;
saw;x;off;
saw;x;up;
say;x;on;
say;x;out;
say;x;over;
say;x;up;
scale;x;down;
scale;x;up;
scan;x;in;
scare;x;away;
scare;x;off;
schlep;x;around;
scissor;x;up;
scoff;x;down;
scoop;x;out;
scoop;x;up;
score;x;off;
score;x;out;
scramble;x;away;
scrape;x;off;
scrape;x;out;
scrape;x;through;
scratch;x;out;
scream;x;down;
screen;x;out;
screw;x;down;
screw;x;out;
screw;x;over;
screw;x;up;
scrub;x;off;
scrub;x;up;
seal;x;in;
seal;x;off;
seal;x;up;
search;x;out;
secure;x;away;
secure;x;out;
seduce;x;away;
see;x;around;
see;x;down;
see;x;in;
see;x;off;
see;x;on;
see;x;out;
see;x;through;
see;x;up;
seek;x;out;
seek;x;up;
seeke;x;out;
seem;x;out;
seem;x;up;
seing;x;off;
seize;x;up;
select;x;out;
sell;x;down;
sell;x;off;
sell;x;on;
sell;x;out;
sell;x;unto;
sell;x;up;
selotaped;x;in;
send;x;along;
send;x;away;
send;x;down;
send;x;in;
send;x;off;
send;x;on;
send;x;out;
send;x;over;
send;x;through;
send;x;up;
sendeth;x;out;
sense;x;out;
separate;x;out;
separate;x;unto;
serve;x;up;
set;x;aside;
set;x;down;
set;x;off;
set;x;on;
set;x;out;
set;x;up;
settle;x;down;
settle;x;in;
sew;x;up;
sex;x;up;
shade;x;down;
shake;x;around;
shake;x;down;
shake;x;off;
shake;x;out;
shake;x;over;
shake;x;up;
share;x;around;
share;x;out;
share;x;over;
sharpen;x;up;
shave;x;off;
sheet;x;up;
shepherd;x;out;
shift;x;up;
ship;x;down;
ship;x;in;
ship;x;off;
ship;x;out;
shoo;x;away;
shoo;x;off;
shoo;x;out;
shoot;x;down;
shoot;x;out;
shop;x;up;
shore;x;up;
shorten;x;down;
shout;x;down;
shout;x;out;
shove;x;along;
shove;x;aside;
shove;x;down;
shove;x;off;
shove;x;out;
shove;x;over;
shove;x;up;
show;x;around;
show;x;down;
show;x;in;
show;x;off;
show;x;on;
show;x;out;
show;x;over;
show;x;up;
shred;x;up;
shrug;x;away;
shrug;x;off;
shuffle;x;out;
shunt;x;out;
shush;x;down;
shut;x;away;
shut;x;down;
shut;x;in;
shut;x;off;
shut;x;out;
shut;x;up;
sign;x;away;
sign;x;in;
sign;x;off;
sign;x;on;
sign;x;out;
sign;x;over;
sign;x;up;
signal;x;off;
signal;x;over;
signpost;x;on;
sing;x;away;
sing;x;off;
single;x;out;
sit;x;down;
sit;x;out;
sit;x;up;
sitting;x;out;
skim;x;off;
skin;x;out;
skittling;x;out;
slagging;x;off;
slam;x;down;
slap;x;away;
slap;x;down;
sleep;x;off;
slice;x;off;
slice;x;up;
slide;x;down;
slide;x;in;
slim;x;down;
slip;x;in;
slip;x;on;
slog;x;out;
slot;x;in;
slow;x;down;
slow;x;up;
slug;x;out;
slum;x;up;
slurp;x;down;
smack;x;down;
smack;x;off;
smack;x;over;
smarten;x;up;
smash;x;in;
smash;x;out;
smash;x;over;
smash;x;up;
smoke;x;out;
smooth;x;out;
smooth;x;over;
smother;x;out;
smuggle;x;out;
snaffle;x;down;
snake;x;out;
snap;x;off;
snap;x;out;
snap;x;up;
snatch;x;away;
snatch;x;out;
snatch;x;up;
sneak;x;out;
sneak;x;through;
sniff;x;out;
sniff;x;up;
snipe;x;down;
snuff;x;out;
soak;x;in;
soak;x;through;
soak;x;up;
sober;x;up;
soften;x;up;
solder;x;in;
solder;x;up;
soop;x;up;
sort;x;out;
sound;x;out;
soupe;x;up;
space;x;out;
spawn;x;off;
speak;x;out;
speed;x;up;
spell;x;out;
spend;x;down;
spend;x;in;
spend;x;on;
spew;x;out;
spice;x;up;
spike;x;up;
spill;x;out;
spin;x;around;
spin;x;off;
spin;x;out;
spin;x;up;
spirt;x;out;
spit;x;off;
spit;x;out;
split;x;down;
split;x;off;
split;x;up;
sponsor;x;up;
spot;x;out;
spot;x;up;
spray;x;on;
spray;x;out;
spread;x;around;
spread;x;out;
spread;x;over;
spruce;x;up;
spur;x;on;
spy;x;out;
squeeze;x;in;
squeeze;x;off;
squeeze;x;out;
squiring;x;around;
stack;x;up;
stalk;x;out;
stamp;x;in;
stamp;x;out;
stand;x;out;
stand;x;up;
stare;x;down;
stare;x;out;
start;x;off;
start;x;out;
start;x;up;
stash;x;away;
stash;x;down;
state;x;out;
stave;x;off;
steal;x;away;
steer;x;away;
steer;x;down;
steer;x;off;
steer;x;through;
step;x;out;
step;x;up;
stick;x;away;
stick;x;down;
stick;x;in;
stick;x;on;
stick;x;out;
stick;x;through;
stick;x;up;
stiffen;x;up;
stir;x;out;
stir;x;up;
stitch;x;up;
stock;x;up;
stoke;x;up;
store;x;away;
store;x;out;
stow;x;away;
straighten;x;out;
straighten;x;up;
